Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Equilibruim
1.35114962498	-4.81395433808	-6.82065127997	7.45593181712	2.37292590488	1.59121482149	0.711795356851	-8.29436889312	-3.47552250015	-1.56543505535	1.97993016422	9.99208370305	-7.61954032651	-7.79493336128	4.29014420282	-5.08586820841	0.719275485466	-2.81720571519	2.16237391376	5.97734109326	6.10711145811	6.44055071506	4.55368969388	3.36836459194	8.14978736763	4.78204323513	6.02957997304	8.5011774458	6.01779968366	3.9186439365	4.86271912036	2.57351521498	5.29297610355	5.46729869816	4.35504797696	6.98349313605	1.22305616149	9.190766926	8.3273044865	9.14314808427	6.67661716387	8.18478120779	3.89348667814	0.687945384494	324917.220301	False	
4.75220961638	3.72388703963	-8.78997243694	0.0515258264665	2.91653578299	1.31192805905	-6.79620182687	-0.939719088472	0.440619015512	-2.02097695484	8.89715067844	6.26631797987	-7.75904141158	7.47506107809	-9.14128194678	-2.83330892977	-9.14289834895	-6.24512299361	9.35504774815	6.2770878954	9.15512914111	3.14132909794	1.50175925298	7.34940977014	8.22035663295	6.1064566886	7.61841559162	3.02626677169	1.04556972827	6.12100447299	3.15850122539	3.24511946857	3.55666340662	1.2473729298	4.64899413303	8.17396062397	3.43543296185	7.65003132729	8.55755250543	0.962826171477	5.41472759574	2.27210810574	5.00991014271	3.37503843648	204399.756271	True	
9.69416587438	4.54722293225	-7.55176648167	5.97112553408	5.45073381206	-0.837009274166	-9.03151614443	5.03053832811	7.22402805373	-1.21140174426	5.17481200347	-1.00843743473	-7.39642202248	-3.01747051142	-9.80050717119	0.0585350442226	8.44824768733	2.07781496635	3.68694558184	-7.37637895543	-9.00217296346	3.23452188811	8.68619774713	8.76416144543	9.12809209563	9.52172143549	6.6416067225	5.62885898854	5.88709111814	7.67497126487	6.34974828663	7.52516888644	4.30689346467	2.75774974306	4.44809785714	8.8436651504	5.57961346708	1.13664948084	7.42326728573	6.74736124904	3.23654543367	7.24266822535	0.42284283368	3.78259831824	674012.900911	False	
8.39814585222	7.23927594964	-3.3601651817	-2.12703364843	3.07546998259	-5.41812110411	-2.30749350591	-5.19056819235	8.72448320334	5.1035284033	2.62018396954	-3.99034750453	-4.21775910782	6.01885288082	-7.094495568	-9.3176576078	-8.09311800502	7.17762596273	7.91227534016	-2.30431058052	-5.95771298055	1.42913694523	8.68791801637	8.14483850216	6.92978867288	6.5335354133	6.06208908254	6.78663443953	1.50963507058	6.07600105317	2.45483085995	2.68466096391	8.48145905469	4.46990769693	6.38402578294	2.68538242304	8.54664006312	1.66532314784	2.7892829862	4.52937605929	6.69221719111	5.06659970803	4.99373497369	0.037373779598	298291.625224	False	
1.75582734391	-8.92007811265	4.79055100063	-6.45532121507	-8.22756537541	-3.40429754441	-7.34001684163	-8.65744563784	5.19387237452	9.21455290735	8.11659356564	2.71470337169	3.55692476216	-4.70507491833	-3.43165236461	-5.30680980438	-7.6026224125	-1.60481036985	-7.57155074811	-5.70257325916	-4.01342663037	5.92956595219	7.4222853118	6.16769660881	8.47347143336	8.94444439898	1.97928517404	7.5496607644	7.38504536882	8.01656396493	9.15408003324	5.04231153478	8.34772347496	6.83008386857	5.01161894734	3.31296089399	5.38930851345	1.81668952295	8.34559868507	0.385321451143	8.75872423668	2.10080485693	4.28340290569	4.94561503088	546383.673695	True	
3.67935609729	-0.0587909468321	2.05355855368	-4.29350357421	5.04985481304	-5.2674727691	-3.79270459499	-4.72766935371	6.31684520745	-4.29178826742	-5.06470368083	6.92424427839	-2.14728023218	9.21335993608	8.29753457124	-2.37201892857	-8.40727398431	9.31849770118	3.62631708133	-5.36693569571	1.92116508309	5.44114141836	2.27196051007	9.4632573975	4.44771778484	5.31045925719	7.45701150905	7.05318205726	9.90595163935	5.72232568966	2.14305388764	2.12859502055	6.26470309176	3.79114469976	1.28059410242	8.43667931665	3.54333725261	9.36226292415	9.3112556919	2.76919831364	5.28350361209	7.70877212227	4.18874451256	0.867093451049	323085.410752	True	
4.4037476556	1.74916319767	0.066855140217	1.46601618216	-0.817565673533	-7.41011277184	-8.23525415786	0.572299415945	4.18435235453	-3.56204663277	0.962958118274	9.53398175585	4.70913426405	1.16824349006	7.84415526122	2.08754487681	-5.54822617876	-1.83477440056	-1.54803189316	-5.53223766659	-9.47721843513	2.602240619	7.1019025829	6.97693889112	5.01817677885	5.75098942302	6.68557113073	2.14001636952	4.87201057996	8.96366463045	9.72096940143	9.07781425113	3.47322349605	9.45755283576	2.99887629173	8.41067265555	8.36750094494	1.11364488087	7.35687735752	6.2619570552	0.397122941996	0.680433095866	4.66230863151	4.1338640756	315380.054866	True	
6.5155281923	6.52277647478	-2.88324035564	2.34253870125	-9.4108607636	3.93380585589	-3.79909005583	1.24058300061	-6.2964717367	6.03229004604	1.89162396383	-8.71092367611	4.22701797674	2.06722926939	9.89378545116	-3.81827501328	7.86674582016	-0.50842781044	-6.16940492158	-6.84881971146	-8.77276623033	3.94865037449	8.77360266274	3.45404063762	2.62011928226	8.24902370506	0.945151152205	1.28281861429	1.43048556569	8.29048735125	6.77982622572	6.13559723746	1.20330600798	4.30070820862	4.38036736756	7.53354987167	0.909979913642	7.48030296194	4.72652531684	8.67082775214	3.73836163303	5.66739659253	2.18498582974	6.12827011431	417916.997873	True	
6.15407912179	0.994827832991	3.67118898382	6.83200303414	-7.86659427492	4.21703729043	-2.97523286037	3.55090180082	-5.33510603379	2.03185308075	8.350717358	-0.886103128246	7.08588429046	6.8569323259	1.74477624692	-6.22171992785	-7.94889277247	9.51509851321	-2.44032404539	-3.13813822223	-4.23123352417	3.35463464351	9.50372518133	2.50103968907	1.93618357038	7.8896236069	3.80198464834	0.786822341618	8.14102780629	5.62495845952	5.20294525181	4.87788345795	6.76208827835	5.95158547368	7.57338048727	6.50368368778	6.61591933177	7.37505240624	6.8793990976	5.8578962503	6.92252511055	6.65368102091	1.83506951397	5.00029697324	630029.981504	True	
7.69550680062	-3.29434384683	-4.41235709824	8.62689417101	5.78785185664	1.80811945	6.24791973282	5.7351660718	-4.26161883743	-2.10441534394	5.07379912199	-7.829324722	-0.875372738474	7.2644458605	-4.32289030314	-1.17832875454	-8.71616941597	-3.2937975181	-5.21310252361	-0.865467975059	3.34060513862	2.76829521979	2.32491354343	4.42484616628	7.2121957756	9.31223641564	8.87406638061	7.39433596092	0.63259859728	9.126757044	2.69859885938	7.90757549973	7.46805926175	9.81570873008	5.37611346228	4.83198006455	6.42007181674	8.97769913979	1.3798478025	7.64948603346	5.01757364977	2.44474603233	3.28489861016	0.481225890683	487734.04654	False	
