Parameter 1	Parameter 2	Parameter 3	Potential	Equilibruim
-1.67668781042	-1.73654183235	2.72863165259	53441.0816126	False	
0.989946793453	-1.38010986818	1.73386255083	42235.759513	False	
-1.17728815125	2.30841700189	1.68098997198	41254.5928913	True	
-2.48105725608	-0.111462985501	2.58991813751	32091.6998947	True	
0.847718522758	1.36855028213	1.8562212248	41956.0354358	True	
-1.48946400117	-0.198080852058	1.54807408148	61459.2046676	True	
-0.916768361359	-0.236830489392	1.49182279759	67511.7427231	True	
0.580936591125	1.19930625682	1.86081113964	42384.16064	False	
-2.70608299599	0.51588087299	2.36307932618	67923.762306	True	
2.27677949966	0.837573210383	2.07668463509	98264.8006311	True	
-2.43958610588	-1.5915311515	2.31053304585	49711.9386683	True	
2.60081861873	-0.338251784957	2.18391150802	135867.324646	False	
0.559690115666	-1.831505092	1.7170625172	66295.0640923	True	
-1.01154918431	-2.13992087193	2.72155122872	61169.0981442	True	
0.0252755330558	-2.24823863248	2.408933908	74380.0895065	True	
-2.38182422996	1.95439800073	2.24171649649	25664.0945557	True	
0.81053006671	-0.0554414619559	1.77531301606	36950.6948599	True	
1.79335888993	-0.303867383944	1.54774947286	56764.9509116	True	
-2.38712256649	0.079217282165	2.4801140593	25932.9522171	True	
-1.98220466476	-1.25627037095	1.93838550561	33058.7501236	True	
1.48573777965	0.137177319663	1.86953230455	42630.2478977	True	
-1.74680138863	0.287494759472	1.97793482254	35454.341493	True	
2.07359740962	-0.997764812366	1.91546022205	36934.8955914	False	
2.36753918522	2.02115998855	1.92987932533	53268.6760637	True	
-1.5597207627	-0.129750751208	1.84255493143	34160.9085213	True	
-2.29773257206	-1.0314721985	2.0738561715	33465.0733588	True	
-0.192441373975	0.86269559497	1.83077430641	39297.3214902	True	
-2.50971710395	0.455108267734	2.32001641005	34388.3560116	True	
-0.613232109063	-2.07652720527	1.79213237475	85064.6647924	True	
-2.11859427333	0.119387161845	2.28212179873	32675.9326702	True	
-0.675609823003	2.10718119589	1.42062456873	79772.2371269	True	
-2.59004424478	1.69211544211	2.14087604037	57013.9452519	True	
0.829545699267	2.11857164706	1.46053887381	71086.2228588	True	
-2.06883523687	1.67167663245	2.31238940933	42853.4959221	True	
1.71580589425	1.19861491797	1.74985357273	37309.5517485	True	
-2.18738107628	0.21964273732	2.23568204181	25424.6344346	True	
0.185682086253	-2.03500757718	2.36499772005	38946.5761372	True	
-2.48461553235	-0.660113108901	2.11663170111	45264.335898	True	
2.24599320529	1.21124642138	1.72508434286	37888.3903167	True	
2.36623034193	-1.58521453594	2.42644855424	47663.397518	True	
-1.38470113426	-1.06800865004	1.98150610586	33471.6656821	True	
-2.0168507815	-0.889909912314	1.88832493461	34251.9562335	True	
0.794566347175	-1.79028249588	2.12107088091	26679.6148534	True	
2.15995141407	-1.83786325577	2.25423467571	24494.0933713	True	
-2.35209570353	0.222623458958	2.34719784577	23217.8393646	False	
1.6218171773	-1.45003436535	1.99054316381	28574.4461116	True	
2.94647341403	0.0748482997411	2.02220247211	74919.6336169	True	
-1.42107610209	2.10416259261	1.74809808842	37179.4147036	True	
2.65242184557	1.63955695909	1.61522892982	46523.1813746	True	
1.77643747972	0.484176142179	1.65464303047	42466.8487807	True	
0.631130038802	-1.9467161982	1.81787259837	65282.7809449	True	
1.68805849699	-0.304898462393	1.39851863357	84541.5291219	True	
-1.63130935826	1.64609500937	1.59713989589	54894.106453	True	
-2.04520947639	-0.64656558831	2.1921106144	29228.2477719	True	
2.54921218314	-0.940416365537	1.76931833011	35991.9458744	True	
