Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Potential	Equilibruim
0.694237723207	-3.8640640463	-0.357471489758	5.55218430218	0.307058377974	0.649419531906	0.620947389459	1.21704504923	91.8770258283	0.62894307131	1.68984119282	1964.27236708	False	
8.02638743563	-6.86247011985	-0.679696130073	8.36275530386	-0.02138203546	3.85930764238	1.03716805499	1.27524373667	79.3711790282	7.5643822412	16.9517733615	4761.23693487	False	
1.1043880567	-2.4706069374	-0.37817529679	9.61585258755	-0.399825288155	8.37859558573	-0.0933975292058	5.34975061023	78.1154772722	1.36183457258	9.65891954767	1509.73973068	True	
8.34010517173	-8.0025840516	0.105124933641	3.34753825294	0.844357480561	7.35708257462	0.547352776665	6.95924693384	75.703659239	1.42468587181	4.34595814195	5236.00842697	False	
7.14876638429	-8.44979812019	0.172961667879	6.95881528748	-0.783611517937	8.14404697143	-1.42841018128	4.83455745208	77.0189794602	1.68945248515	6.28700421454	4478.3173837	False	
0.728398549345	-7.81434913431	-0.30492313277	9.57426708954	-1.05822964477	9.58171014534	0.693711479954	2.13189684745	79.6032754354	5.4251513633	21.3395334014	2563.07074061	True	
1.47174977728	-5.1337264522	0.347186813944	6.01614433918	-0.212047173222	9.39693199565	1.9157849539	7.47658791481	85.2142635023	7.31263499768	20.3830784576	1763.91589322	False	
4.6604493402	-7.62337427697	-0.645836906868	5.95206582404	1.91474041568	0.225642822144	1.18232212326	5.59640605534	87.3282215116	10.9714955342	10.4654290259	5350.92286464	False	
0.615405772922	-7.30268025679	1.07651625056	7.20859453499	-1.41982510219	1.77105571287	-1.07181936349	2.94247261437	92.4987791045	2.47519418723	5.22543464574	4703.57875618	True	
1.63769400296	-3.05764924722	-0.241458822343	7.52090936255	-0.179483387091	2.02963538086	-0.125862351856	3.38142135479	79.0391075573	5.22071787248	2.83889711417	2877.88662299	True	
0.380899018638	-2.06691124513	-0.606580458645	2.06094659502	1.3196536399	2.06335245533	-0.783638205899	8.38203936132	75.1410564117	10.8723006217	4.60049382344	2609.84062806	False	
0.506100163432	-1.77339860505	-0.659139119586	2.30978005829	-1.00819814626	4.78061333514	-0.805259313759	4.85268617699	74.1950223868	8.31939365932	2.43724510627	3097.77964615	True	
0.0306686432291	-1.55172913389	-0.89600529278	9.70072330249	0.58067109771	0.000623921933248	-0.246256948183	9.29114012227	75.4498780176	1.99150443945	17.5726569277	2466.87213364	True	
0.765899221759	-1.27413266696	-1.00581697546	9.39973756795	0.149290402931	2.20637700891	-1.40665114248	2.84601005917	69.3519758782	5.48212322674	16.7601486948	2181.67339752	True	
1.32850718543	-4.63734127769	-0.481938541465	7.48684140084	0.0866137194707	6.6986711668	0.461013915219	4.11062996961	72.2919201876	11.1662003758	25.5212485978	2910.02498878	False	
4.25522129902	-1.2989362249	0.118965059152	2.80423380071	-1.73721559252	8.92921110976	-0.0343387620629	1.84023803063	83.0996851483	5.59913812131	32.7130079228	3433.92401616	False	
7.37047767002	-0.841898965457	-1.13552472267	3.80355423715	1.57646225209	7.85360325331	1.25358163474	4.46822196778	77.9978208352	6.96460047182	25.4361250083	5561.84584146	True	
0.610617720816	-7.72126478763	-0.264862761674	9.4629427067	0.237737526055	1.70189548918	-1.50817793325	1.37692098969	72.25761706	1.98020270252	24.5492984724	2707.39535132	False	
1.17037593355	-8.46683766363	0.213739575159	3.96862661222	0.733672220749	5.85749409704	-1.71209478154	3.52335076554	73.7648778113	3.31343258926	23.3980054844	2328.99514823	True	
0.420269644885	-6.33360759542	0.45729729238	3.11556491007	-1.62808730992	8.35771914508	0.517009394213	4.44719839001	71.7285220045	5.37186628522	18.7364707899	1935.93582051	True	
0.731386932156	-0.0366034526819	-0.583092024782	3.97222427165	0.0754027920323	8.11650982369	0.124612240796	9.40324879925	72.8083060283	4.35462342921	16.4673693294	3863.52369992	False	
3.53989181821	-2.38338868332	0.405931393315	0.211367700343	0.812285181011	7.87885645922	0.423349116797	4.84632380467	69.6113889737	5.25189134408	11.6061554257	2289.24695394	False	
5.92997014898	-0.442166122254	0.258299468276	4.49036655658	-1.18835955212	3.22208095568	1.51663944837	5.94973593463	73.3115358858	4.95743728024	18.7993600439	3752.84152309	False	
1.1181120796	-3.16588300247	0.431892024088	0.178438193489	-0.101455747697	1.36700120585	1.09749751955	4.18380973749	70.4750883404	5.54868759361	20.2977830626	2951.84377512	False	
3.21446276003	-1.43509909397	-0.167437002933	6.47244029995	0.0979062648821	8.47923382827	-1.2680989361	4.10588133607	68.6016534299	6.62146775075	20.0153743129	2137.09297024	False	
1.67455322551	-0.795531049407	-1.30372151292	4.15747032636	-1.11307460983	8.89411875172	1.76177592401	6.04354682937	68.1734899967	9.02053895016	20.197477271	3465.69694164	True	
4.99997020867	-9.30776390597	-0.416494210973	5.14170316961	0.920769649869	1.1319461078	0.495758929479	8.85317293599	66.1529909414	11.2010640794	23.5189844044	5297.48267341	True	
8.55395769013	-5.55708091008	0.0375198827938	5.9187238607	-0.87785832768	2.81665015805	-0.371625631951	0.508390590476	68.266874388	11.7910966949	27.2591595312	3702.43973031	False	
6.98685093926	-1.14493574113	-1.60733705896	7.16220186687	-1.92096774505	0.497951435983	-0.856981740779	3.75924575376	64.2399306616	11.5410183589	23.9254621775	4498.72442439	False	
2.3223219369	-1.99334899345	-1.11463566142	5.87398622131	0.544976713625	4.53606940362	-1.40255221233	6.84644784456	67.6541976953	11.3245420089	15.8640649404	3275.06667692	True	
5.50190033598	-3.15212181984	1.7077699699	5.84422546588	-1.51497599628	3.10006848644	-0.479362274679	9.3773222835	76.6264562077	12.9474126074	8.65676923321	5824.09868578	False	
2.09297041919	-8.64754991426	-1.14439162348	9.30440297784	0.68920146969	7.01486228516	-0.951317962791	6.75023846225	88.7974377399	11.4483266884	16.7972130885	5834.4259407	False	
0.462286380397	-8.2105463746	0.276678502684	8.96205518667	-0.361728213022	4.74304177213	-1.35609625661	5.5760416197	97.871945335	6.4088081847	23.003127264	2451.04278433	False	
2.87970360636	-7.07389761989	0.11804670064	7.82609671486	0.101227858548	3.40036758808	0.263006556207	1.38857099976	105.054975797	2.04285451926	25.5497267564	3345.82186086	True	
0.108752166013	-8.75214844014	-0.0605452413284	9.6529852964	-1.29573831219	5.20636938365	-1.03281996753	2.15897869852	99.1570792928	7.19071213071	27.4711568689	1655.61531824	False	
0.419810584863	-4.62586297482	-0.554801965668	6.21572986512	0.860011426221	6.18042631214	1.40939041806	4.30836368026	92.5502616166	5.48271383996	29.9219168808	2150.11962779	False	
0.830942051298	-9.16258586983	0.250537318605	3.15720604356	0.886830789622	5.22107517411	-1.69769522656	3.31980308538	84.1549399501	2.70740500846	27.1751236654	2148.41392982	True	
8.70807530276	-9.41172666308	0.341480854139	4.38225561717	-0.861047578937	4.75772989489	-0.781779660712	5.69546697248	81.7122884447	4.40485698786	27.2499253137	4496.75164757	True	
3.90921396091	-9.11728043603	0.23858537736	7.17695985885	-1.48234849143	3.4319399312	-0.225948751544	7.51949780181	76.5094597141	9.182807659	26.1098531071	3785.9362591	False	
0.124562349188	-7.20781066387	-0.161673125428	9.3983697549	-1.45818469289	2.36339640066	1.97661468415	4.35182149302	80.0055578301	10.5789696864	31.5499478439	1971.89930338	False	
3.15751082685	-4.49359641631	-0.574989065353	8.44838416808	-1.7111760496	1.3627940486	-0.91990016451	1.21642558374	77.7545242657	10.8509644613	35.0426374659	3096.39878505	False	
0.0680847584097	-1.53469295419	-0.687018938963	3.0711907131	-1.69088453123	2.32976163384	0.397324078413	5.51328454309	76.9989394553	12.4518167644	44.0780964589	2965.99537681	True	
6.8185205932	-3.07626022742	-0.0248116841788	0.088983914543	-1.57196398909	7.14067971252	-0.589174599162	9.69973972571	70.6218947518	11.3209555158	49.1925331989	3541.72975199	False	
4.528789305	-0.544450572909	-1.21398005286	6.79879950138	1.38991607912	1.34002247177	0.354007019931	7.83588874162	69.7828094103	14.3205483751	46.856453509	4761.87345199	False	
