Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Potential	Temperature	Equilibruim
5.46575030704	0.393911925598	4.28518199956	2.59785550064	5.48208602793	0.942992822802	6.72230284521	1.97470222329	7.0559786163	7.72543418747	1.69342134859	5.86736847993	2.44170621804	3.45761301706	4.06015986485	3.00844002676	2.17588722145	6.49227622949	2.57259846426	3.8457776506	7.21116421341	5.1637912999	-2.29250390764	2.16482148843	-0.924790267498	70732.0076876	35049.3899481	False	
5.50161380291	4.26390899337	3.05400791547	5.40505478244	1.80080559471	4.24145988308	2.15537505003	8.41880846597	0.496236881311	0.511474584288	7.46794990581	7.30580115106	4.42710843528	4.55737865766	5.30813863454	0.72859438692	3.78621700701	4.54109726705	3.06479000246	2.55786513904	1.10968980075	7.2257665782	-2.34131592258	2.90195504112	0.950881081169	44330.5794651	35049.3899481	True	
3.54240142612	3.95476810738	4.8310083618	9.55104195226	2.33039177466	9.86612430646	8.83043966694	1.06374863088	1.49369719394	9.21028726059	2.81383069242	4.38485639046	5.59962544447	5.22126468108	8.9224437557	5.86374864594	6.60081172232	0.392538259404	7.42908299812	7.75255982978	8.71619821929	6.25760231263	-2.68262573691	2.07032108623	-0.0327287000865	84311.6319246	34698.8960487	True	
0.512259312832	1.003443702	2.87149996975	5.9479242477	4.30952245301	4.26901288252	1.84292314083	6.84879418039	1.46888014635	5.66907595827	2.99629543144	8.91415377899	8.94120352167	1.0930219153	8.65224776331	9.50697041895	5.9409776302	7.10996505011	3.73711667756	6.92974898815	1.94943538738	6.50069932065	-2.09316883794	1.30646558247	2.50998741578	140579.883093	34351.9070882	True	
2.30426043604	0.0965891169067	3.68768564212	4.39383229958	5.17682708277	7.85989430488	1.61218104541	5.10030792591	1.27233284913	5.70175985474	4.54844179504	3.81843818511	5.24827832093	9.0362965747	3.55798251533	2.75465388564	5.04433613578	7.53915946698	3.47904803802	2.5310960292	7.00704106206	3.0080674488	-2.69326866806	1.20481403318	1.24266990342	34747.696144	34008.3880173	True	
5.37918918597	2.53380324597	7.75022872454	8.65903551592	4.77211984316	5.41886748898	2.12698546193	1.70020600698	4.048313834	0.701027047289	9.13278503941	8.56466573214	7.42830243883	3.73112023461	4.73321330313	7.336303236	9.33158174837	4.50245709751	3.62897172478	3.88531211405	5.3497498318	5.1469694299	-2.84495867358	2.96670172191	-0.419355797218	24995.0344888	33668.3041371	True	
1.66992403584	1.47847563363	9.11702916944	6.65168019913	5.15494563139	8.860690531	1.76041308393	4.34271551317	5.34989206389	5.29593104889	9.56764948878	6.85036377059	9.40461544978	4.32062230653	8.05973868425	7.24503176704	5.60189445325	0.842891195979	9.23830055381	2.20381315051	8.11438215732	2.43057784143	-2.71514608832	2.05640980761	1.4787599352	33800.1352007	33331.6210957	True	
7.61913501593	4.16268437543	8.45109377672	8.98557711684	9.05112106433	2.36963950859	1.7173601311	1.63979645293	9.13866579159	9.43524264495	4.9541309976	6.03507452264	7.45721059102	6.51880457343	5.80285036184	4.34204234862	6.5200510754	5.02914658355	3.33142661762	8.95391386746	8.58196298177	5.77475574548	-1.80823987255	2.786763957	0.762982546916	104746.822596	32998.3048848	True	
5.34851888745	3.15929587193	0.580695681484	5.03469728466	2.69215101327	3.81713323839	9.80417350957	7.32765240876	1.57746430114	1.7799459447	4.73101121452	3.80275597557	8.75828342097	5.72052871982	8.96324058551	0.817054041498	2.64294644632	0.270763872476	1.84790175724	7.13207836465	7.28500284525	2.03774195874	-2.35208598931	2.80300022373	2.84558074202	27749.9573423	32668.3218359	True	
1.21546263924	0.502794525625	3.66100986511	3.57542835063	1.20292869939	6.15962513424	7.26489146978	1.33071269732	5.86086332663	7.49477932658	2.32050580224	3.89587375774	0.140520787283	5.09803910084	6.08641278384	9.32362714151	6.74859516403	4.06077397575	1.59469269006	6.03235220866	2.32719156622	2.40635724487	-2.72088347064	1.51220920227	1.17637400188	21893.5719595	32341.6386176	True	
2.50923812927	3.56585747964	7.77801202376	4.99410559812	8.90442510391	7.32182742386	0.848314726066	3.90087801819	0.0321798405475	6.54923982705	2.8817360599	2.58030267865	6.06335783271	8.82330671951	5.73986874633	2.67982123152	4.77404510318	1.25315643843	2.04396596724	8.63527918345	1.25570833084	3.38295185898	-2.86311903074	2.6508386888	0.541882053191	27815.6884721	32018.2222314	True	
1.9948712763	0.304744939416	9.34655290893	2.39569088645	6.46335665618	8.17791303991	2.49001479535	9.2472907809	1.45698430737	3.15755044958	4.19135014315	0.0441607237303	4.44256485971	7.76627297906	2.60242491686	2.0925277031	6.22547843865	2.55290366104	2.23774595481	9.47281910746	8.39126255649	7.79522463245	-2.82000599205	1.32355112394	-0.279516960099	35912.9517111	31698.0400091	True	
7.1896960019	1.679190927	3.2409191946	9.32106213724	8.06609878403	7.2887569991	7.29965820191	3.81080825389	1.56665065156	9.01008244185	6.43087481017	7.04220743882	6.30440087354	2.53037454566	0.45976410644	6.0311362352	8.60678339111	5.00716242886	5.86972672659	3.87034296459	2.79162451516	2.21633867185	1.50050603146	2.64436712129	1.4840048339	102518.652919	31381.059609	True	
7.75825245084	2.41083750051	1.99486978008	2.77638362419	3.25933315885	6.6763453922	6.28308338187	1.45741610042	0.824136572795	1.57706918871	3.1059628328	8.63067772864	6.59177234364	0.545041695674	4.46583654984	7.98470910736	2.43463385925	0.532074665334	6.57530435488	5.40484549596	9.79134976006	1.63967689991	-2.83247884632	2.96948856981	-0.461372451606	72758.9445417	31067.2490129	True	
5.80804740109	1.25404829497	6.56052591365	9.46022171869	0.838357048371	5.03388774039	5.01148457599	3.79388626399	4.42215763214	6.98602818032	5.1924541991	5.614055108	0.393510966117	6.66746869834	6.35329750787	8.51862302613	4.00125438478	2.76306363943	5.29655005534	7.22252309576	9.43903180143	4.49579283969	-2.56196682364	2.62597397787	3.0244048301	12008.727794	30756.5765228	False	
5.30004223058	2.55185241758	7.14289093811	5.03371792079	7.77423376198	7.35710003942	7.58038803183	3.83593860601	7.04603589419	8.0801133536	5.20188288179	7.04718914838	2.27878225781	3.80506387701	4.02446228784	7.8102696164	1.7782113975	3.86554952665	4.14755041213	1.62418707807	0.701577381654	2.18373997443	-2.65386475792	2.51716461922	2.30773805914	10277.5119818	30756.5765228	True	
6.8805927032	2.11322209108	1.77302214352	6.50578694228	6.39333170355	4.52833677992	7.90631821661	3.7137773907	1.34496060864	6.04597029155	3.85432769494	2.7289137343	2.4028395346	2.04137674282	8.12818375385	5.55781272523	3.64460871019	4.94674009785	2.30103882021	5.00039433898	6.62490645967	3.15837002894	-0.794787152202	2.54722605828	0.261831295009	116451.41165	30449.0107576	True	
3.49105220239	0.495299608441	4.82494064029	8.41353219619	1.96838180062	2.1905190759	7.53814882781	6.57725977585	1.85116379406	3.0987868684	2.87826172131	3.42643743407	3.6485191404	5.66482418971	4.67624301952	6.58409562771	7.68981599071	1.21087080935	6.40599977991	7.70169454079	1.0378127457	6.51685557259	-2.55525471898	2.37068339611	0.446520058175	55634.9039905	30144.52065	True	
6.93981955933	0.180254448802	2.28033043831	4.64749346982	5.9869483901	6.57009053288	4.44430540641	6.01261643562	9.74761393153	7.26583229284	0.807974362827	4.38404940092	2.54124880138	2.56731827902	8.67231924354	8.55606333058	3.79730621163	8.08173913576	3.28105006006	3.04736737454	1.32880638432	1.72263283913	-2.84061900496	2.84309508764	3.56608428631	33098.2118899	29843.0754435	True	
5.7137290809	0.48419016028	9.66075090901	2.78356060097	7.03479430684	3.19417918105	4.30859300813	1.40990829017	1.66455734547	6.7602795881	0.0431700515824	2.79493922342	7.58998386288	7.78619297751	4.79293548244	6.10609493296	0.501140874571	2.91375039753	6.14422451554	3.45974349104	6.37154299863	3.70406623022	-2.05339043746	2.09298092679	2.12746821812	85369.0078267	29544.644689	True	
2.25394344535	2.8650706622	9.09278735428	3.38852365537	8.18660306913	7.77707771559	5.3147527113	4.0786205353	3.07591493059	9.65072310928	9.24793010123	6.49325050577	2.27624029594	6.98773572799	7.80905078727	1.32046693016	2.15883912467	3.4639155889	6.74261475254	9.47969283423	7.29618796957	7.14882010044	-2.02650715624	1.29637387688	0.851916425133	167489.335081	29249.1982422	True	
1.94500108183	4.54456934632	0.971691974251	9.08166599551	0.184117708512	8.29347207498	7.24122728853	5.20120692643	1.96762989956	5.29009889125	5.26068422944	7.7910745521	1.18897147956	7.25385638312	1.46005096106	1.47973896737	6.27357108048	4.86327950841	4.98906008327	3.46728050061	2.04805499777	6.61152848356	-2.3699045367	2.57486604561	2.97834814234	38802.6234525	28956.7062597	True	
6.95157876391	2.1690382597	7.33049269359	9.22281523438	4.82713758157	5.09316592086	7.80886682396	3.55506051737	1.32258254459	6.15183332595	7.74222339621	3.04946502122	4.15841987229	3.78761913041	4.92917053332	8.81951867572	8.47418525138	6.80485212146	3.54770688999	5.11373235306	8.78731189282	1.20051450094	-2.96906803723	2.85212252652	-0.323017331419	47962.2223861	28667.1391971	True	
5.24044834571	0.0896135526995	2.28935988816	8.69889666932	7.95928401032	4.87729233053	7.97882949262	4.24866708228	4.47198556379	1.20864887625	6.85734883078	8.12075257197	2.78702505546	8.85624828585	4.69865971045	1.69268014607	8.60096003753	8.90580943851	6.46412257124	0.152761471431	8.47807930042	3.14210867113	-2.97229128358	2.3702411508	3.79461553946	26016.7967959	28380.4678052	True	
