Parameter 1	Parameter 2	Potential	Temperature	Equilibruim
7.28724415438	-0.610932831013	4063.39586391	2822.36965027	False	
4.49933279543	-0.0420085081909	7563.32454162	2822.36965027	True	
14.7630844234	1.06638602461	12541.6070452	2681.25116776	True	
8.64160791854	-0.174684774561	6721.40687653	2547.18860937	True	
4.15903012594	-0.344813933885	5608.10643376	2419.8291789	True	
1.19772411875	-0.960175825107	3707.46557804	2298.83771995	True	
12.4400382609	-0.63286529872	3965.42214816	2183.89583396	True	
0.568773121218	-1.38352223874	9523.64409491	2074.70104226	True	
0.661302580282	-0.647458474929	3895.53769817	1970.96599015	True	
10.0651294588	0.0171148620428	7924.0849647	1872.41769064	True	
8.18935730478	-1.05874118228	4289.64789299	1778.79680611	True	
2.74530769396	-0.548568148986	4373.76343119	1689.8569658	True	
10.7093617625	-1.14128023116	5098.66332453	1605.36411751	True	
4.68538812918	-1.06051650231	4303.75976293	1525.09591164	True	
1.33777212617	-0.633160410503	3959.6152516	1448.84111605	False	
8.74883563227	-0.713607082754	3670.00625999	1448.84111605	True	
6.13900552601	-0.651237260083	3888.68009521	1376.39906025	True	
9.07371514127	-0.995445723531	3872.38291279	1307.57910724	True	
0.662799916479	-1.08376236109	4500.44410366	1242.20015188	False	
1.80158991254	-0.99759795283	3883.11822988	1242.20015188	True	
5.77494731981	-0.582444912561	4200.10539768	1180.09014428	True	
9.03508705532	-1.04875116686	4212.62827971	1121.08563707	True	
10.3051408111	-0.32404000589	5743.8345802	1065.03135522	True	
10.6794635662	-0.709826654838	3681.25497174	1011.77978745	True	
9.37830255564	-1.03596843199	4120.31466544	961.190798082	False	
5.79089873609	-0.871980820443	3494.07756588	961.190798082	True	
0.163260615376	-0.741707223472	3584.68143206	951.578890101	True	
9.80041533519	-0.51220108492	4575.68603875	942.0631012	True	
4.77365583373	-1.22152653022	6204.82614341	932.642470188	False	
7.05053459842	-0.699789400524	3712.43283507	932.642470188	True	
14.1823961399	-0.876516214431	3498.9725401	923.316045486	True	
14.1532765912	-1.11045784793	4759.43033622	914.082885031	True	
13.5484119216	-0.376749191416	5402.46819101	904.942056181	True	
11.0785369086	-1.01090123636	3959.09542208	895.892635619	True	
2.58573902115	-0.238700821873	6300.57175056	886.933709263	True	
2.0644777111	-0.753363845368	3567.74358264	878.06437217	True	
3.78857035496	-0.372210765105	5430.92273319	869.283728449	True	
