Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Potential	Temperature	Equilibruim
6.61549956992	7.34922911152	8.43914445688	7.34814646054	8.07641650135	2.58751355756	6.00517251787	4.56731991878	6.75610672761	3.39444587508	4.73450793902	6.28041703652	37147.0894164	2357.947691	False	
7.93315198046	8.56590716251	7.05305149413	4.78744385344	2.12772793569	7.57510385193	8.32809953523	3.18521110534	5.71930322065	6.40247333903	2.2880810879	6.20520180224	50286.1402107	2357.947691	False	
5.96585314322	7.1656791696	7.32162682066	6.10818434296	1.81001064888	4.96853684676	7.24162370999	2.27138198905	7.89939450517	5.59203349964	5.06526977776	6.66017311517	32382.5350133	2357.947691	True	
6.63691213288	5.38836689206	6.35730058221	3.45885606925	0.347292280481	5.91141385723	5.16582603487	4.170680468	8.08812679271	5.51737991723	6.22016301851	8.89011482704	43051.0169644	2240.05030645	True	
6.99726720484	7.85494077679	7.13953714468	5.36015866279	1.63306804725	7.41115689723	7.22849709038	3.07954149715	7.02828410598	6.35353540186	4.15435598005	6.78635771487	29954.7769258	2128.04779113	True	
7.45906308657	6.44701038782	7.02414273356	8.77723453116	1.05270200774	5.55777547066	4.53575577565	2.39443619501	8.47973125796	4.87669174326	5.70617003241	8.10069088661	38799.2536402	2021.64540157	False	
6.03287964445	8.95962489395	6.51541449365	6.62748163325	6.85951919011	7.54562203724	5.95705886595	1.77319307497	6.45267242588	3.94086216219	6.92872786925	5.40109340152	32361.1161894	2021.64540157	True	
6.56028106795	6.79908162031	5.89699571611	6.82097969124	7.46308358916	6.73539313952	6.37954458844	4.98891906374	6.28337809876	5.28943589072	6.14773683653	8.01808116567	28143.8589927	1920.56313149	True	
7.50846314051	7.02153290873	6.47110622762	5.58022132678	9.43930514234	8.21469188934	6.58752746989	2.56051608774	8.07732082585	4.53687729159	7.15676761604	6.22031988975	32252.4320038	1824.53497492	True	
6.5456544241	6.92367304553	6.16885880968	7.62320673202	3.04208212013	8.23601905755	6.85091122548	2.68322800614	7.49611837953	6.17236857058	6.14515316203	7.12314686085	27762.4291568	1733.30822617	True	
7.22493335124	7.64513385792	6.76518738721	7.88508671833	8.22348246577	4.48371367432	5.98767196202	2.86404299668	7.2660470367	4.36663905204	4.25603091061	8.99383336818	32713.0206747	1646.64281486	False	
7.38530236565	8.58097832584	6.90897377824	5.32900812813	7.0708846456	9.96400581362	5.67635099693	4.55008684815	8.06245123213	5.24298514033	5.56911110566	6.50826184242	30300.60393	1646.64281486	True	
7.54202054393	6.65306815621	7.07514031188	6.48361495605	8.45523155226	6.7793606052	4.89248545629	2.78102972585	7.23157179093	5.08386610806	6.30062319988	8.01038962847	29883.8463333	1564.31067412	True	
6.63806623463	7.84109662253	8.7087411224	8.51869668119	0.678932453837	6.39039883434	5.9836319939	3.30986182577	6.08321891609	5.32291689427	6.52946059398	9.05877890092	33970.0397617	1486.09514041	True	
5.9316496282	7.81584519977	6.80814735589	0.247956479499	8.86531144521	5.73734102483	5.36712035539	3.30549685337	6.92963376957	6.44543744329	6.07712041341	6.72467677793	29602.1010207	1411.79038339	True	
7.52297505503	6.27041947686	5.88399193109	4.49084445187	3.76749785258	9.20171361279	6.03690808837	3.38719787743	7.72997476681	6.77711597194	7.06805606737	7.83128942579	35212.4624963	1341.20086422	False	
5.86005405799	8.16496489017	6.27833335441	6.55894213817	0.214749043085	6.05192837095	7.02902020141	1.96932088898	7.31840512086	7.11293209747	4.86696969659	6.09337345343	34213.423992	1341.20086422	True	
6.78820369294	7.55594152294	6.92786724325	4.59740991099	7.85910250053	5.51014864185	5.92640156772	1.72024038076	6.66461892293	4.00366553397	6.02796060824	7.97998771933	26414.9827451	1274.14082101	True	
7.60873942692	7.98947066106	7.30817435871	7.35072044205	6.79879862777	7.21989098868	5.86525400832	2.30861567679	7.71880265221	5.28670678722	7.05801276843	6.93423336733	26224.8146662	1210.43377996	False	
6.76834272485	7.55781340916	6.92029709918	5.15151943269	4.08420491508	6.32954488745	6.43935336757	3.97967258857	6.72915077074	6.32204846936	6.98834106802	8.26240080687	25838.3040132	1210.43377996	True	
6.07412708993	8.04589867896	7.01238546247	7.35634303509	6.53078053245	7.98722941771	6.67392846674	4.0909388427	6.7776925528	6.06400628189	6.12072266524	6.19274458707	25339.2982387	1149.91209096	True	
6.76018593848	8.2175913682	6.24341475217	9.1305633998	4.32008584956	7.48676192023	6.2816803394	3.63456347436	6.24486175557	4.9179777772	5.63998127361	7.31299129165	25582.5111867	1092.41648642	True	
6.79426205758	7.94113561614	7.43167602256	7.45130658661	5.6570653365	7.94846380343	6.36514064824	4.06449366301	6.81684762923	4.60892120913	6.25063301336	6.21014972821	24174.7973389	1037.79566209	True	
7.26523930011	7.67073470807	6.68865448349	5.26473183391	4.31061406112	7.79546519248	6.51443532555	3.97358693641	7.48373553481	5.77015541943	5.85316703943	7.75685408071	24365.5625905	985.90587899	True	
6.99245502594	8.03690629776	7.12674796974	7.56387297321	7.7986268011	7.65181366378	5.75785933902	3.92041240842	6.85084886438	4.66673244749	6.33172272301	7.98750904533	23513.1320935	976.0468202	False	
6.3512531632	7.50261939219	7.52896442265	4.83743897125	5.54607302101	7.91066817815	5.66419270988	2.71113634867	6.61594833414	3.30723040212	6.8403007715	7.16799614568	26346.7244579	976.0468202	True	
7.18486478371	7.9123330579	7.40310868296	3.1179800566	6.07186271644	8.79635527349	6.46459789954	3.23589521788	7.08723061344	3.75621445028	6.17939818548	6.74108391098	25490.100155	966.286351998	True	
5.94905677697	7.49865239841	6.86726567972	9.55342965686	1.69222751318	5.52166916584	6.88677341804	3.63442042192	5.96360951128	5.30122573659	6.14972557834	8.51976110098	30592.93092	956.623488478	True	
6.85563011473	7.69488525335	6.61138986146	4.22121526595	2.01999985735	8.40622619335	7.10523887811	1.30725403318	6.91638703063	4.32024269021	6.95617436241	7.34489051922	27593.6412409	947.057253594	True	
6.75952019881	7.37789556903	7.89645590758	5.91127878765	7.13043450247	7.77448179952	6.28436168371	4.77379479893	7.14165710443	7.67550262188	6.23343055359	8.5216317853	31328.7951636	937.586681058	True	
6.89001524035	7.69698126231	6.96806259706	3.76208296932	0.0704559688953	8.19968680124	7.39791758904	3.41605668428	6.2673294641	6.35144769411	6.41222564755	7.34220113022	27409.1678835	928.210814247	True	
6.84065440468	7.8174030396	6.63893270366	0.921092439583	3.25220383174	6.93993396263	6.83874934586	1.9753162071	7.02189256754	3.95795205962	6.34203045013	7.42796646387	26449.3940845	918.928706105	True	
6.61021041649	8.55739004763	6.58167995191	4.87295780403	6.21521076607	6.90280954391	6.05120075675	1.79939323084	7.38244895421	3.57789433336	6.26579306773	8.13107219664	27042.8429045	909.739419044	True	
7.09617919234	8.2840174737	6.64463897569	5.25984175507	5.89104790981	7.8499729883	7.44630485529	3.57673837322	7.02953763196	4.31021902519	5.68432854519	7.63862558484	25330.5148101	900.642024853	True	
6.89249881588	7.24937221527	6.97020056055	5.04255941662	5.35366939281	5.756239502	5.52937287817	2.34767421117	6.53786455134	5.57162557755	7.40596959649	8.82691055288	28780.9006363	891.635604605	False	
7.0436504112	6.95211106556	6.21883919236	2.63932232949	1.62892705879	7.40834885718	6.57535678419	2.51354545426	6.37717085458	3.46019136212	7.20600982826	7.68550489886	30013.4233927	891.635604605	True	
7.47645096077	7.2609634503	7.61936461292	0.0103324276505	0.477836034417	7.45077022154	6.63686046174	2.64345725868	6.22132896906	4.24130750431	5.48150741748	7.23799011593	28771.009033	882.719248558	True	
7.10777388673	7.70686006085	6.913346504	4.32764601429	0.584077344969	6.8019390671	5.0600497173	2.67250859846	6.52171545251	5.31344326597	6.23045937229	6.04711243304	28010.5819084	873.892056073	True	
7.207509645	7.85534933233	6.6686465001	4.29913025539	6.2447532735	8.25432427655	5.864007203	3.96445734369	5.59650754427	6.1916470996	6.52664084863	7.64022333645	26036.2603552	865.153135512	True	
6.97300304728	7.70426226635	6.20122461504	6.00682581461	7.64679897855	7.22439539253	5.97120028209	3.43270784599	6.03838542166	4.7597011586	5.57377724449	8.29373589279	24973.3329397	856.501604157	True	
6.81397892687	7.98965748717	7.22210309585	6.59436710829	6.07503690893	6.36575734877	7.29446746882	3.30614062136	7.31030510978	4.88289128432	5.89085186817	7.27108278753	24090.2414672	847.936588115	True	
6.17286314296	8.12172616325	6.62672323246	4.66754715386	4.6150735739	5.19666548788	6.42828331182	4.40339020471	6.8108927546	5.00203541311	5.61200126831	7.65470715204	26013.5018576	839.457222234	True	
7.27639732014	7.9544647481	7.35754291555	4.28991078198	5.1835210638	5.92141072937	6.06253965949	4.02676367076	5.43233261842	5.38185357367	5.93780104322	6.40645700453	27939.5479563	831.062650012	True	
7.96565360678	8.09204910916	7.14910484678	6.85180113363	5.18746769418	8.71727733321	6.64858527779	3.04439075773	6.4466708258	6.44309646306	6.26903058374	7.61773941795	26988.1934311	822.752023512	True	
6.74022603156	7.62534663522	6.66163584239	6.05809954476	6.76710335317	9.07098046165	6.39351677492	2.56627011585	7.0859247489	3.4299499938	6.20851708181	9.3350612349	28767.9209346	814.524503277	True	
6.57374336846	7.16514145212	7.60306862185	6.02992068386	2.27380623185	5.96302036778	6.61258692103	3.72223618604	7.89305229186	4.51312317396	6.88859142287	6.42778089876	28837.2608217	806.379258244	True	
7.1066308406	8.19056753082	6.58811518708	6.4579441003	4.17245903068	8.13011292164	5.72479215283	2.23020835287	7.1067306693	4.48977479088	6.13642291393	7.27307130841	24236.4614182	798.315465662	True	
6.54163434464	8.00199355988	6.95580491558	6.05481808312	6.54807780669	7.44704634419	6.68066232276	4.30751667008	7.49371542775	3.99933300947	5.20451981543	7.31701823692	24776.9150477	790.332311005	True	
6.86794310878	8.22023916785	7.27723428287	5.90934654653	3.07682291239	7.00010380052	5.54369932229	3.69608912286	6.56786476252	6.46352259532	6.43514715664	6.62318927758	26159.079066	782.428987895	True	
7.23306739483	7.99422824884	6.981672311	5.7794243792	4.52104434258	8.49372530419	6.11406532891	2.24936578395	7.64006272561	5.36808901741	6.40315978473	7.55114642159	24431.9969076	774.604698016	True	
6.60827838977	7.49412381086	6.84751705198	7.34287998309	4.93176855542	8.51953805071	5.72135974487	3.21921184664	7.67636647188	6.30592399955	6.03034520781	6.29577591457	26175.1702593	766.858651036	True	
6.19026130921	8.18051950432	7.09926882212	4.59945284249	5.0721834939	8.58518941865	6.70401157982	3.52722089184	6.89243811382	4.34126868842	6.5740136446	6.88094362602	24612.0252553	759.190064525	True	
6.53304452223	8.2949799355	7.01610804364	2.32537347641	0.318452723493	7.64920061477	6.44316345198	3.55465011813	6.3118010048	5.63133766632	5.4978864811	7.67199332452	26013.8897933	751.59816388	True	
7.25946612592	8.81987316528	7.70510045371	6.79614876298	6.1398035182	7.90701819442	6.0347524138	3.03840898765	8.13303306307	4.46215638554	6.1078510816	7.59593309849	28113.7107165	744.082182241	True	
7.13452129908	7.78782853411	7.16050609591	1.73724608723	6.53783277591	7.48556520941	6.02658823705	3.93054843422	6.95777915786	4.18980011253	6.09994701068	8.26732155534	24770.6948706	736.641360419	True	
5.91335797447	7.61057681599	7.22016895297	6.19110964557	4.70728837822	8.59983365927	6.0091002222	3.64060366644	6.40143410476	5.51667576305	6.69424398629	7.29263083958	24423.3207755	729.274946815	True	
6.17318276934	8.55433704577	7.80519505529	4.48424111366	5.15806428765	6.45307259558	6.45764615912	3.8575760679	6.81259442967	4.9287629876	6.88472067473	6.3028598314	27788.8422254	721.982197347	False	
6.34017751813	7.55708339521	7.94099752519	7.06759962721	5.44188820818	5.77592502843	7.14579206832	3.26882215996	6.56390012985	4.48774205425	6.07929410592	7.04957373083	26435.3797887	721.982197347	True	
6.73177501084	7.94028842949	6.33678665199	6.47693736297	5.58069532512	6.7470966709	5.81225924035	3.01981627004	7.32616605265	5.11260509814	5.91812457328	7.1916378787	23053.0034358	714.762375373	True	
6.80575864997	7.96021539434	7.30819005591	5.73723386233	4.55098543367	8.25848041993	6.4220070841	3.73162780185	6.72747886724	5.0310182785	6.38601195917	7.07315190139	22795.1484129	707.614751619	True	
6.41408515634	7.75960366355	6.32686840845	6.9701359214	5.47988910868	7.73502332299	6.08503774121	3.48448456605	7.16473294396	5.3317785587	6.53676766624	7.4614421207	22708.4895943	700.538604103	True	
