Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Potential	Temperature	Equilibruim
1.56021682439	1.94566695177	7.66382644657	1.82377985754	5.43164614092	4.75687095813	5.38712782739	4.02581968133	5.75802333722	8.16969930812	1.60661726878	8.13565998346	1.43876653878	8.12618058822	1.50031492937	3.14403795541	6.75326736176	7.05537449509	4.01599030195	8.679191831	2.52223740581	9.09412637587	3.58451537068	7.28535711297	2.35612200487	1.90843625668	7469.35524171	5500.0	False	
6.24034180888	8.47165464822	7.06232648065	4.11829080233	8.80375692173	3.94751009124	5.78256787695	5.16316097948	8.88997078478	5.53312176364	7.31331143163	7.93376824428	3.46840691924	7.40237196388	3.07737599821	5.86890423132	1.99514249414	2.3133033406	0.599845037265	9.75012296798	5.16182799364	6.13295784132	6.54237523132	1.17849874531	1.87127903299	-0.00310663209213	31872.0165035	5500.0	False	
2.25418646953	2.79593371477	9.5230175677	9.7185014672	6.34174197019	4.36311513765	4.83784783884	7.61335438723	9.3793276118	1.6462311772	8.61438837584	9.40845996149	9.01348510584	7.64293397312	7.76053856636	2.98501661484	4.73943485347	6.7447637674	2.08997842968	1.48725925909	6.93428741484	5.28598078126	1.56279821041	2.32145891664	3.57762339977	3.63924385937	8705.32787491	5500.0	True	
4.56853883663	3.87739911878	9.53506510103	2.27641669667	9.688346009	5.2792801307	7.67293209334	0.593122176932	7.14225968462	6.00521025081	6.87198345156	4.94817915225	8.19160416441	6.26135858881	7.53713797463	4.27640307121	0.7204492215	7.06187023847	9.33890438266	1.15483525202	1.15636971168	6.34277412351	6.31003387985	0.828913411401	4.06193240001	-0.994740537807	11890.8673758	5225.0	True	
6.19556747014	8.64492900965	7.41727605776	3.95829372143	2.56015767524	4.34544214044	4.18096252571	8.11098114706	1.59000990156	7.83738397029	0.915973803214	5.62251867797	0.997474961838	9.18842164373	2.08838412301	7.45652572407	8.78482254652	5.30454511961	1.78390132837	5.14175778419	8.99325339479	5.93292123839	9.05749732636	5.65988188339	2.4672531722	0.32147068254	6249.26891567	4963.75	True	
1.07332854451	7.51898165281	7.85612978677	6.33243225241	9.61450868632	2.29949895516	7.7713390411	7.4549740946	4.42216605175	0.731612205889	5.31409184975	7.59715906629	1.59303124005	1.00973365886	3.90192513774	8.30201266708	4.02756062841	9.44469894796	4.96240017837	8.32448991874	4.02173309849	4.87025604128	2.33633419598	8.58242539429	4.06281947786	-0.743627229197	8074.51184435	4715.5625	True	
5.35593535318	3.98422261769	5.86980055698	0.821618241866	1.78748253935	5.35669711386	5.48058651159	8.11637888682	7.81912755991	1.40860722228	4.85943282381	1.27875774567	3.1485913153	8.45579426499	1.01188035743	2.14003058553	9.29819862498	1.59424366075	1.58333073942	4.17581145425	7.79944652624	5.35892695941	9.62253677372	9.04930819484	1.60945032509	1.36397173375	8785.44322483	4479.784375	True	
1.42586025929	1.50520224616	9.68765946063	8.64874006464	5.47421052856	5.23291015849	8.62765065018	6.85603797757	3.38703483996	9.3897758356	0.0383283216893	1.59243603413	5.62078963815	5.91809266995	0.637237130273	9.34810824127	6.04963256133	2.44031636055	2.00146771673	2.30515884219	4.20247161761	8.1319700628	5.77730964224	1.48695985314	3.72972044569	-0.0771481549772	6124.33273706	4255.79515625	True	
1.70577703853	5.94954453164	2.85243453162	0.965089037731	6.7467427766	1.80932115444	4.44419934227	5.27030818376	9.54270098677	3.51719658746	8.08330004586	0.455246811682	1.84519072126	7.34746209177	2.28509442713	7.01277579303	8.95763205105	3.31479557898	9.53914820363	0.879786392565	1.14299156374	9.04970589888	8.38360781953	5.99162037144	1.55878916227	-0.732160978087	7763.64579034	4043.00539844	True	
3.64453011555	4.46640168546	0.675419180729	6.13621201001	4.00691406921	6.55940786195	8.24406147469	5.15145223295	7.30319486841	1.33218431289	7.4569679677	7.6710901765	9.31472975063	3.29802861243	1.07501709253	8.15577641795	7.04892644346	3.23587905037	1.83998178743	3.76986113463	2.79032025302	5.58390266895	5.65525761536	5.15811799651	1.88843707174	-0.0645240671037	7205.93379822	3840.85512852	False	
