Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Potential	Temperature	Equilibruim
2.70971328983	6.36480364853	5.13752365836	5.86707738065	0.609661251755	2.25247147346	2.39221991122	2.35319812596	0.0197296592473	6.87017227273	6.9551436337	7.09777496516	9.28632054067	2.04664188828	7.02129938349	5.74301068777	8.43284956436	2.07512201854	4.40127118316	2.73708103104	4.55677052859	9.38058390699	8.00272454165	6.82502510875	4.08557049319	-1.84062231506	1.68188381453	-0.0852209153732	27301.3911728	46650.738021	False	
2.6094685999	0.988194298962	0.0792068259121	8.2158570481	4.81809333714	5.8665945255	5.90087149674	1.7819074029	4.88315525787	1.98478222836	6.32448318981	0.518507329864	6.57118949948	6.76766409734	2.46968271376	8.11287295994	1.41980227407	5.89996541751	3.78887692117	5.87471216901	6.19337586185	0.838344894696	5.59010995994	2.39907648017	3.87769910731	2.23889145592	2.62763772696	1.30815765067	30764.5045941	46650.738021	False	
2.20975911938	1.14955065628	1.19151454655	9.53255006739	5.30562037841	7.40843973184	0.999088907496	5.70051904731	0.513656061109	7.49900621965	6.30892324854	5.90745752431	2.74261356651	5.66954651512	4.69205536584	5.87077199656	6.85319151375	7.79397446604	1.6351443571	1.98802719516	9.27674829553	5.91499714982	4.95081082152	5.547860812	6.26350873649	2.75720485736	4.36024475698	-0.935679261659	19245.2971604	46650.738021	True	
1.00077799064	1.60369236425	9.30550313522	4.48795027705	1.76076463643	8.2434645631	9.01144570933	8.5035476124	2.00780210255	8.20994577237	2.52323662118	5.61142749709	1.29427479933	7.14693171736	6.12163673604	2.16052790366	6.69485603841	6.70424994817	4.73802822534	1.75796318427	9.93786832512	2.6996084531	8.52179004181	4.14171143082	8.59293093662	-2.35579117434	0.374214727904	1.15686908178	113390.44908	44318.2011199	True	
2.68969170477	4.78222970708	8.06328248143	6.21069651452	2.57041919973	0.443464586019	2.15402452503	1.60179148112	1.6144309957	3.68460662854	1.83922918506	6.45755859127	7.21610750235	2.40598469879	9.44388298143	8.11513952707	6.51834571002	8.07392116536	7.09398151936	8.06606741926	2.2491950867	7.04934090254	7.95318393291	8.70657362085	1.98101733789	-1.33466422241	1.45876061254	-0.116046294371	39875.7251989	42102.2910639	True	
1.69005695436	1.69648096391	6.92952136188	8.34866717657	7.97295631172	6.46444149765	5.1623751635	0.213066473286	2.10633629992	8.52853289094	4.34857999855	6.16177737431	6.45790741006	1.34602715569	2.20720495174	9.50869737738	2.58534988237	4.56015379684	5.63190625133	6.01378999137	1.56888613054	9.5897511801	4.14076431244	5.24135786295	2.24291724874	-2.47191391359	2.96763718806	1.25006666486	22571.3917678	39997.1765107	True	
1.59787708552	8.09431094535	5.6878363523	0.162446862366	0.615213933859	3.66977356994	7.78445773611	3.6815277792	2.2360013122	1.51522501987	6.91117015326	0.610588709526	3.65029195191	3.41537244224	6.9842355499	6.08332110623	7.48086808948	3.92318294439	2.22510720874	6.72178171833	9.13394626476	7.9932261047	0.392755790691	5.47711392865	4.21530310543	-2.37244289726	-0.24251694833	3.08432071855	48167.3513908	37997.3176852	True	
2.7140645041	7.4656482513	0.422910513176	8.75970481474	5.3410172885	8.6639364802	9.00632271055	6.37245031311	5.90727508992	9.54605893631	7.29408675962	6.48900825696	0.922450540914	0.129360602767	0.823841127677	0.376316939332	4.634621107	4.38296372002	2.1521797666	2.58123068697	4.95235003326	3.39732920048	4.18605916339	1.43279824917	7.24803914715	-2.9515838009	3.36251300088	2.98527733022	48310.1189575	36097.4518009	True	
2.95820976933	7.17887127143	0.491216786453	6.78526886447	2.73423101484	3.58845134048	0.472082464682	6.22646845206	4.09745827728	0.79341644722	7.26752973789	4.72263076013	3.31389603804	1.46283413185	9.30698528169	6.11307729529	0.668713051831	1.27150072457	5.61881848937	8.29621149366	6.24853067938	6.52155938289	2.41171782797	2.83682295109	8.43665998797	-1.82357224756	1.73753319605	0.28987071598	40899.6919242	34292.5792109	True	
2.43242457136	2.39545042383	1.34324728627	6.55833101196	3.63454184426	6.18859815808	3.95555547347	5.78788249718	1.46418127308	0.896400553973	2.18706043429	3.60401093568	6.98363145283	8.6814242858	5.02934916269	6.91006170061	9.23355825458	7.46128872587	2.48342193119	1.49387288129	9.30460963423	7.89700851791	6.41455572618	4.64420256936	4.94983708497	0.810474047191	1.92522267398	1.88528451565	37867.1455379	32577.9502503	True	
1.7087479348	7.13702762933	8.82021009957	4.71030086154	1.28983719612	3.08058981164	1.42175544385	5.0526866446	6.71936332571	4.59287847764	3.37605704186	4.8690189067	4.0927647862	7.67637422994	5.29318500268	3.5081406516	5.09829506996	6.22638436128	4.3590930368	4.73602706897	8.98268596522	4.27643068669	0.331950190457	6.9189146629	8.26039980083	-1.76377554844	0.898094972553	1.53239466017	73714.1032868	30949.0527378	True	
2.49512642445	2.12106751485	1.13642756711	8.56868030311	1.48649498562	6.68686141591	1.1083259979	1.06089095595	5.45749019166	3.30607377635	5.37869733946	0.328136820099	5.7018788779	4.3032095745	3.99661786284	6.30348301209	8.27470855921	7.63675526579	3.38945833381	3.96953279488	9.07296991907	1.22122808623	3.73832088847	6.55770796992	1.48091943431	2.22029036407	2.80136032783	0.494651844722	15227.7229445	29401.6001009	True	
