Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Potential	Temperature	Equilibruim
3.09947364873	-3.27529208533	6.09045160748	5.55416309205	4.24367354336	6.12488364846	4.03136024262	7.3609411629	5.15998409374	4.19091519609	2.7410747935	4.91267679722	4.52763694428	5.9308899382	7.16965452947	4.24887993735	3.16656272301	5.15627687509	3.53722793135	3.50103968308	5.16575946181	2.97756625248	6.51643123114	-2.95882104921	-0.893538414036	1.75968868136	1.96421902382	58869.1700467	24200.0	False	
1.36087920428	-3.41236850652	4.58954192164	7.11691311735	3.82251065419	6.0446333106	3.89120715561	6.81864593536	6.02606415051	6.18670481645	5.58611248786	7.29972435551	3.79888576482	6.4219038525	5.79651662016	5.22429342348	6.71513146066	6.17597866868	6.1512547254	4.28115215035	4.26470747114	4.42973979653	7.23710371413	-1.6795156916	-0.815694529862	1.50117780754	3.38065376458	33143.8459304	24200.0	False	
1.22334319381	4.40852436626	8.61404958559	5.98834794647	2.96254169879	4.4541663164	2.93057836423	5.11718376294	5.91312823548	7.21877947519	4.47887371953	4.67344582191	5.52535474538	7.3998584629	4.70935681016	6.86769539976	3.12271441421	5.9634028236	2.86075977464	5.65835049492	5.56070492039	6.76994811096	6.29499856517	-3.07280008061	-0.916059273451	0.940132996547	0.654197886835	38395.2174331	24200.0	True	
1.86191891059	5.72181657389	-7.87082623245	4.08550542516	5.09561437564	2.6575624711	4.39707513039	2.81353350294	6.36129920306	4.86213877587	3.46258880642	5.09580529082	6.12250351238	6.87801410808	5.21768193931	7.13239839347	3.73438779606	4.13972607765	2.99296951741	4.12049742945	2.89389670091	4.91906698968	3.5739368711	-3.10050496536	-0.16807627332	2.61025919448	3.42326955312	63391.9663144	22990.0	False	
1.34675447553	0.866264994252	-6.13089211406	3.6675885505	4.02431346883	6.39062130002	2.64219091611	7.13702422925	6.81259712917	6.05136145936	3.49639876945	3.37373062591	5.47669069891	5.1337173818	7.0067615713	4.36076084279	4.30230402058	4.29494438471	6.51370494996	4.48122549927	4.2647392166	3.13339195474	5.57800535156	-0.0179267479435	-0.352581569374	-0.263249742277	2.36569606139	26117.193641	22990.0	True	
2.74659457245	7.28422417107	9.73715063027	4.94924675631	5.51285620738	2.99001748694	4.15087663475	6.95034936066	6.25865721467	6.62570151048	3.60403550912	6.35551535696	3.65172549487	4.07557913966	4.37742331603	3.6108394632	5.67079259468	6.27742361029	5.1264453866	4.30303198093	3.89440184237	7.28555819949	4.35669022791	-2.64298400239	-0.842001294652	2.88608521515	0.533839765517	103055.992428	21840.5	True	
2.45215021075	1.8161485245	0.39741626649	4.28550097292	5.37470697247	7.09299668305	7.4430581863	4.89189668344	6.90584771273	3.79075368179	2.6395320681	3.72116756837	3.4473576921	3.06646484912	3.99492602806	5.12040025727	4.60647108156	6.68204276108	4.05363406205	3.31287757075	5.74985358487	6.54686794839	6.00819712724	-2.81756246264	-1.19791158992	1.75626671687	2.00934181578	27013.2679821	20748.475	True	
1.76457730597	-2.96441932919	4.56558786584	3.32336697855	5.5453826275	5.60097429764	6.76067385249	5.55161560336	6.54344884889	5.16790123284	6.81374111667	7.15955544763	6.96856146759	3.84932388379	5.94739713004	6.01881153716	4.40766963388	6.57406910869	3.15004131406	5.85788498923	4.21390800281	4.06631433797	6.77560227794	-1.69632475993	-0.828265243244	0.502438437667	3.93619094918	40600.922452	19711.05125	True	
1.6426189183	1.36728464079	-6.31056463861	3.43739987998	4.6993956911	4.23387618761	6.29358818791	6.88652520688	6.00296592297	4.67565006956	6.14025400842	5.14477004636	6.23361827015	5.64314534499	6.91070453429	5.04695343429	4.12426850729	3.19542039557	3.40202432589	4.15538439331	4.31278317297	6.14514008919	4.77258715506	-0.353285592957	0.23391303542	0.10209667704	2.20215084468	22774.3355034	18725.4986875	False	
1.63080528956	1.76301470787	2.3541780145	3.72104977552	5.94757332455	7.46649177957	6.17690130927	5.29738950995	4.6199738943	7.23519850982	3.06188876604	5.41665455284	6.8065931153	3.33379314285	5.60062860911	6.4867440335	4.10763182702	6.81776399114	3.87959753941	6.29007750651	3.35244614869	7.02004519041	2.64896160733	-3.27139655317	-0.282151204969	2.3053225237	0.123582548537	54971.4209384	18725.4986875	False	
0.368385682308	-4.06453736607	3.60412778344	6.35062531934	6.01133899762	4.47364197865	4.77427109519	3.69922411806	4.25794626357	5.59987759904	4.11804262943	5.75586398898	4.86548163865	4.93872707226	6.19628713477	7.00579353804	4.30764855785	5.20027594211	6.21045009214	2.78175573642	2.81013931776	4.71571242045	4.05509282501	-2.96164157816	-0.830407875482	1.28936464415	2.56858223082	53057.4176879	18725.4986875	True	
3.57750507606	2.88912697486	-4.74215140654	3.91962591249	5.52448299268	7.19691136732	7.1038521347	4.45307694878	4.90638938067	6.75368146274	6.40548661488	7.15986407549	3.92675670409	5.6123564131	7.28820925234	5.14983570773	3.6221489581	6.21099424446	5.38349592185	3.17147330692	4.93346836007	5.22579593512	4.62588949432	-2.39561120115	0.771211170842	-0.0859074501854	2.04105095025	75729.1164421	17789.2237531	True	
3.45883464119	1.89153442376	0.992012399617	3.62851856927	3.02424195373	5.01386230622	6.28157865038	3.08359303431	3.56626397271	6.65211182836	5.03896204451	6.66183981775	4.21242547561	5.49402251829	6.17948596834	2.86443436292	2.91767602825	4.16936441606	6.32748413355	2.69431839669	3.39900289832	4.16704273943	4.54310961912	-2.71565300079	1.66073870316	-0.936537898543	0.206666718937	36816.6407024	16899.7625655	True	
2.32710328655	-1.99722325109	8.96594740251	6.17308705622	3.260571911	3.74794898099	7.22835464435	2.51246237712	7.2350893205	6.23993090427	2.7049138069	5.22130287509	6.88165986637	5.61990213658	5.14719610317	4.87450954597	5.74094753946	5.73663158724	6.24183586658	4.37098846553	6.79556129325	6.39377538372	6.64165528866	-2.96480239205	-0.530350910776	2.11142782887	-0.257908884167	25675.1887843	16054.7744372	True	
1.99311273748	-0.27800225124	1.39472081471	6.50730954612	7.27550616916	7.24405027215	7.40627353161	3.51840973834	3.51498073164	6.03904900244	4.85890728291	4.63985614087	4.88313831427	3.26130679328	3.97630555956	5.06285006436	3.43885946489	4.18301334996	3.87110616705	2.84765985378	2.85179709053	5.79821126775	6.2535779465	-1.50330700106	0.886059010747	-0.631004828914	0.070088929599	24785.4978963	15252.0357153	True	
3.29931752967	9.06551115836	-0.0423935856261	3.60218997228	5.12094924895	3.60048532713	4.78762605448	2.60299426912	3.05802089038	5.28194455781	6.26725137569	5.47139628005	4.44709795351	3.10567071257	3.57270730706	4.97697641915	3.75723699525	6.73210470479	7.10813890377	5.01609996106	5.18878902088	2.93966100389	3.12159497005	-2.90693766169	-0.796509468509	2.76077639872	1.29854291112	27483.5470521	14489.4339296	True	
0.652587099186	-0.93639646025	-4.06012106876	6.41786895569	3.10032341314	5.20935068877	3.29672439488	6.80022030562	6.84921890952	7.27845957046	6.36074434349	4.87936521542	7.07463013093	4.05388863682	3.34942014156	2.91713319747	4.99406421377	5.38678479202	5.12959967444	5.40130280798	4.20501203927	4.40435938874	5.29876516978	-2.66619345904	-0.829900352922	0.199326639613	2.20659999522	53761.7302377	13764.9622331	True	
2.09318919661	6.22658070851	2.26709146824	6.82361766349	5.51380307647	5.18736276976	3.8496266258	5.65308877816	4.46862307225	5.30038175751	3.40631775951	5.64463720407	6.02334108097	4.34053511588	4.80158768158	4.02859827597	3.22223986131	6.62378317284	6.70012642983	3.33039446826	6.05353130658	4.92447354249	3.39961176836	-2.95173738551	-1.34358431433	2.03178879997	1.64601305361	56786.7462901	13076.7141214	True	
1.80029009861	-0.734159729273	6.96802947216	3.43150421968	5.22513065366	2.76680522386	6.05804109946	6.78760451447	5.78948212874	6.77206846539	5.85814069759	3.90828943627	6.39190466715	4.75934002194	2.81101398958	6.11170047841	6.11997906176	7.3111994715	3.79729106164	7.05434357102	6.44116114836	4.49735491637	6.17710230233	-3.15992076904	-0.869164461005	0.891521731182	3.2708808068	21195.5503507	12422.8784154	True	
1.81066782906	2.3575038165	7.75238895562	4.59613344493	4.13859579937	5.98021688687	6.24908995694	5.05922935324	3.98171041123	6.44416369787	3.98930681013	6.3429190605	5.91502385278	6.15675191931	5.50704217917	4.70151648019	4.50958202949	3.97221836674	5.62714803223	3.45076495339	6.18963868756	2.955745159	5.33352068894	-3.0316293062	-0.137352619842	-0.862267179	3.85971291342	27532.6905408	11801.7344946	True	
2.96017136651	0.343259705693	7.88915043236	3.57283383142	4.75030213202	6.14250623943	3.60870527554	3.45244646707	3.22558477567	2.68574497099	4.8027157706	4.36430752727	7.4105717891	5.25530866685	3.21578401181	6.68501668779	5.98913846384	6.07047581917	3.98296220737	7.40911012538	5.00677250251	3.05018777335	5.20054041056	-3.28095462357	-0.685358194576	1.77797991766	0.952479645456	38174.8576565	11211.6477699	False	
1.03056834199	6.6384013223	8.83327983052	5.53289327435	4.13016825952	4.88394234909	6.10630733904	5.7201592559	6.31302539364	6.28345864024	2.61240795384	6.1791291968	3.80410780457	3.83538206648	7.17759038054	6.80565226619	5.51729041377	2.83709202506	4.1450055795	4.44675550216	6.72423244493	6.13839287248	2.76379998293	-2.98530067441	-1.0223585647	0.753968091813	1.50114675174	51472.8911186	11211.6477699	True	
1.62351329628	1.91386080473	-4.29521371446	6.80744948671	7.1100618815	3.7931193329	4.88554367212	3.95206272979	3.14014512584	6.21150855222	5.0275698119	6.07804588814	2.63491119555	4.28766703949	6.22657992541	5.74965403118	7.49108688657	5.9121770515	6.26844701093	7.46791936042	5.17625829792	6.66281500368	6.48776739895	-3.02391630637	-0.955270750374	1.67004277865	1.57879671226	28724.409428	10651.0653814	False	
1.54551278124	1.48180883876	-1.56973764325	5.39162721976	7.38843262318	3.76464883558	6.5622473833	6.0955092397	3.5503677135	3.82666165712	7.26446054495	2.75903726304	5.94893834746	4.2631579078	3.64715431442	6.53827111009	3.84666578875	7.4779078009	6.14246359324	6.36156724124	6.86951199409	5.10002790672	3.25091112715	-2.80222212088	-0.873866512118	0.675974917761	0.926314661693	22485.9942402	10651.0653814	True	
1.56940308674	-6.84234948011	8.1328233031	3.56032618748	7.01926820962	7.39340303023	3.45066199305	5.37535779477	3.210697282	2.5464657272	4.32893154537	4.35065666584	6.70360600506	3.74974828116	3.55546412768	6.62587523299	3.3574179521	4.38347872949	7.03042439432	3.77438226409	3.74923048927	6.59056008195	5.53890514013	-2.40154387508	-0.546972694768	2.30415057125	2.4927601238	27223.7179378	10118.5121123	True	
2.37268760811	-0.857080591753	4.69097609316	4.44614563542	6.1468481389	6.47328433011	4.31564500825	4.32707253099	6.40285901921	5.61120999146	5.27876897671	4.66491198286	6.91227965844	7.00594366428	3.32022862234	5.76355821441	5.59367655748	3.10510866564	4.94083320841	3.83561231165	5.60675216833	7.49992228283	2.50361006789	-3.08938479956	1.92358775093	-0.0195993097312	-0.188639782134	18920.7297355	9612.58650669	False	
1.73261822302	1.00453038245	-3.63786216802	4.58614766032	7.27821125802	4.57699743352	3.09613283632	4.68193649779	7.43087814184	6.49784873367	4.06720346852	2.72639139326	6.02553808769	7.1207339134	2.80060847453	4.82491182756	3.89197592503	6.49886484029	4.69093520049	4.36856675718	4.99603391467	4.70577227454	6.01251301332	-0.509805750972	1.3464712055	-0.450476200406	2.02678113494	21636.9836133	9612.58650669	True	
2.55602626439	1.96179571213	-3.67262854285	3.02968351466	4.92047202618	4.91374376638	6.42806344908	4.60475450068	7.1535373048	2.65347729594	4.83137472585	7.26929164053	6.25891589839	7.27204146822	4.37962985066	7.3501280134	6.17434283092	6.14094792751	2.93832700523	4.24130483916	3.65991858522	3.43463086902	3.49891791042	-0.894284585812	0.886366062611	-0.516289180446	2.70350877771	22642.3145291	9131.95718135	False	
1.21249922998	-4.28710466163	4.64413710654	6.25021822016	4.00367620594	7.20663849169	6.23010771794	7.17376389795	6.56717302059	2.89735231005	3.17022282679	3.75628010797	6.19272612724	5.1694713019	4.07268015968	6.53741350183	5.39211714919	5.61590388072	4.36122205543	4.89876056585	6.95652983312	3.56121398179	6.95379888065	-2.4905783428	1.09721991353	1.10076580244	3.13465559816	27813.7241718	9131.95718135	False	
