Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Potential	Temperature	Equilibruim
1.30619575491	7.11945913394	7.68689600345	4.93986082931	7.39095396975	3.93267503346	3.25779680178	4.81364107979	5.37726366611	7.30441856022	7.37967134441	5.35239456628	3.40960432891	4.80310262099	2.80628998855	3.41959513376	4.12421934871	3.63525907787	3.43517227943	5.07248467457	4.55893948862	3.80372357779	5.35362490062	-2.36691733997	0.259783956111	-1.71570554173	3.32880423969	149574.539756	20000.0	False	
1.49601827309	6.19201950868	6.29243158528	6.47073835367	5.48673933406	5.3422518387	5.80060023588	6.46446058006	6.49978021574	6.18909297557	5.76196802674	4.5958185325	2.65422292161	3.61910814135	2.83622884203	5.46138503238	5.74166513735	5.73398289959	4.09607797905	3.98769208555	6.60676923338	3.38719565012	5.61402242287	-2.54959912566	2.23226598443	2.21363529152	-0.598618747844	66730.9194254	20000.0	True	
1.36413300948	7.13665490681	3.10669631469	2.77712618211	4.89705193336	4.067545916	3.28178244745	4.30750009693	5.13906835688	2.9994832693	6.65602864154	4.7617505371	6.36250667989	5.30806124485	2.75177759398	6.99152177286	6.10567978206	6.38195504065	2.61757183432	3.84082723134	7.35070084956	5.98623500235	5.47943689179	-2.92138738396	0.405808264729	1.62505736431	-0.47570325505	41554.7669155	19000.0	True	
1.46584426533	2.02818658138	1.47057360972	5.09090648327	5.57543187854	5.727666509	6.40129884397	5.8840048678	4.02625871094	2.72532405068	4.72609461497	4.80994825484	5.11443641135	4.79177681939	6.94556261688	7.14081832613	4.87377373566	6.34512548356	5.64047390242	6.24802222926	7.22138837674	4.14650783588	4.88519553685	1.68054874358	-0.951884593937	1.38553863705	2.6880481063	14804.6561794	18050.0	True	
2.91449049788	9.46010777702	4.21947526032	3.76721904949	7.2997899026	3.65496993892	5.44896723384	4.03575759337	6.14858928126	3.33895668765	6.50006299907	4.59650681354	5.76729572191	6.15269013006	6.62331376457	5.3880953047	4.4748548996	4.61006609549	6.37809116985	2.98722683019	2.94901881754	6.44434512938	7.02086250456	-2.65896893118	-0.436250317441	0.867576052654	0.0558140075604	22567.6703866	17147.5	True	
1.85082880623	1.1929648907	1.47709960847	5.34329183663	2.91187085222	2.86890360045	5.62504598106	3.47126949845	4.51881443557	4.74713677235	3.58933397146	7.28189974285	6.59400477143	4.39581155799	6.75541505884	6.01240867897	4.89252312161	6.95240136129	4.13862383366	5.98054413537	7.13354003919	6.51454063471	4.60713439131	0.883854663764	0.562712568781	-0.31146577438	0.433803355307	31347.4467045	16290.125	True	
1.94266057329	3.16084470801	0.539867432135	5.64601006712	6.09688552122	3.39248134276	4.76911040216	6.57692325462	6.64997246487	4.54925203054	2.76636231189	7.36928175311	5.04921694086	6.0738932254	6.78892010545	5.36245463648	3.53915086508	5.78659237762	4.14240680957	6.66056647874	6.52483754365	5.14538616322	6.38154535983	-1.28687194603	-1.0749554982	2.69139585409	1.17758655969	18714.9305854	15475.61875	True	
2.90265662854	5.62995432293	0.413562343682	4.88406939538	5.96599767308	5.17945135097	4.41199081501	3.42802308059	4.61160655366	2.95008194937	4.00924356743	3.15944090266	4.5739855613	4.52706732581	5.5542733225	4.56830111939	7.41665898568	2.93477506833	4.09789578244	2.99457341564	6.40666264805	4.64620732912	2.66852228421	-1.30414653837	-0.947639880474	1.25360550803	1.63523187744	12042.0620173	14701.8378125	True	
1.60948861767	1.56619950184	2.4513150577	5.93727059613	6.35917897183	6.69419920302	5.41148871378	3.88877905797	5.80067522285	2.64641502336	4.20115826252	5.20650051884	4.72851104783	6.71973147618	3.20056723057	2.56856892739	6.13130399328	3.90933448667	4.65209859638	5.06104858431	2.81587869487	6.57999460137	3.55024787914	-1.94974286637	-0.90590793567	0.722327712803	2.53126053319	11436.0101004	13966.7459219	True	
1.71491575795	6.09358530682	5.15920626101	6.28675351687	3.71931971179	4.94936119514	4.84441157717	5.01587825281	5.0112753491	4.20137767477	3.04717997001	3.22447525481	4.30389108524	5.18876208968	4.68627912144	3.46855451182	4.05751623885	4.51280648987	4.12136639879	5.88781567567	6.64066641606	5.1503831303	6.63905372081	-2.34099243918	-0.606665982074	0.941200702799	-0.429775862497	11341.5228248	13268.4086258	True	
2.81134250963	3.56157361344	0.877342804668	6.3428555045	6.08308752042	5.06327514844	6.13224817866	3.89059151454	5.45458724201	4.01623511242	6.25183747282	7.00469901489	3.12634204442	4.31011014075	5.05920397739	4.1848289528	4.1153597793	7.2585555094	4.58281215497	7.04022689631	3.66484374622	4.41655000093	6.82309990378	2.72438017594	0.000764287069424	0.232143922218	-0.40046594061	15069.5002174	12604.9881945	False	
