Parameter 1	Parameter 2	Parameter 3	Potential	Temperature	Equilibruim
-7.18405948827	0.849472868181	2.22501152546	4263.45303896	4352.5827158	False	
3.29952954258	-1.26040984346	1.09141168258	12086.8093508	4352.5827158	False	
-3.06225528559	0.90018555961	0.612615055426	5079.69824639	4352.5827158	True	
-4.3517299954	0.440419337887	0.728328782509	6079.31540822	4134.95358001	True	
-4.97546002686	0.738116179903	1.50364910134	5568.2774163	3928.20590101	True	
-1.30641690309	0.286342533401	0.252862832936	8936.64015096	3731.79560596	True	
0.153121542822	-0.119291369145	-0.79868535052	5960.67382832	3545.20582566	True	
-4.29843139061	-1.17131511738	2.65456695168	8449.29490406	3367.94553438	True	
0.27527875495	-0.0142635535545	0.540591142524	17242.2097853	3199.54825766	True	
-4.64854767828	1.96054071144	1.060898233	4322.98214431	3039.57084478	True	
-2.52020685775	-0.0318594759297	-0.232743098197	10269.3270488	2887.59230254	True	
-6.30559527275	2.16993019801	2.36525513637	9740.10807293	2743.21268741	True	
-4.02006169474	0.617947620657	0.724909292208	4625.70140197	2606.05205304	True	
-8.80019559055	2.52111551051	2.84360749647	4352.11910332	2475.74945039	True	
1.41187154663	-0.902912230973	2.04123713643	11327.8434598	2351.96197787	True	
-4.78855992768	1.44254834804	1.22832673418	4375.77475905	2234.36387898	True	
-3.79292366587	-0.408903454387	0.483869879083	7018.52153698	2122.64568503	True	
-0.782379210229	-0.605819145189	-0.370040178017	4733.44285232	2016.51340078	True	
-3.74125139837	0.532564284171	0.847372974057	4602.20870387	1915.68773074	True	
-0.892435374054	-0.701953704003	-0.560470403686	6683.97776961	1819.9033442	True	
-1.19635588648	0.634979041361	-0.210661624117	5017.13707398	1728.90817699	True	
-4.55744983379	-0.788706478765	1.52449737263	4097.81659252	1642.46276814	True	
-7.56978484093	-0.239139526965	2.51958383969	4197.88659393	1560.33962973	False	
-7.49689489131	1.76273182685	2.19764345992	4775.62681149	1560.33962973	False	
-1.87090164625	-0.681895033005	0.266813570227	4184.6077467	1560.33962973	True	
-4.89646063742	1.6504838965	1.34845287998	4717.67492263	1482.32264825	False	
-0.986663085825	-0.298251019614	-0.523032912042	5641.46445503	1482.32264825	False	
-6.43185441663	-0.0473424343607	1.82245222821	4444.73661907	1482.32264825	True	
-8.14305028799	-0.336806589653	2.63073637401	4313.47022416	1408.20651584	True	
-5.4629170224	-0.0230541926156	1.18115779107	6762.78290386	1337.79619004	True	
-7.78641180332	0.685674644721	2.67007255093	5076.15908839	1270.90638054	True	
-6.66363668123	-1.17691608379	2.63800807557	6335.35187032	1207.36106151	True	
-2.55979163326	-0.526947112111	0.331425110675	4234.80543718	1146.99300844	True	
-7.39353808867	1.3329546811	2.15039876826	4800.17868013	1089.64335802	False	
-7.61753917382	1.91996157994	2.31277514233	4413.90405025	1089.64335802	True	
-3.77803515097	-0.377116815183	0.781524723378	4241.34220831	1035.16119012	True	
-6.34684136091	0.0807113233589	2.10632194622	5096.82779217	983.40313061	True	
0.647573472906	-1.0090669875	-0.282627458375	5639.38364071	973.569099304	True	
-7.14721222619	1.35903884948	2.13648103808	4325.98947871	963.833408311	False	
-8.45449302094	-0.646607229	2.88628688011	4232.1847608	963.833408311	True	
-7.77306455834	-0.581571481444	2.66981076735	4055.73657336	954.195074228	True	
-6.57984644104	1.50388412577	1.72851881351	5473.53267833	944.653123485	True	
-4.01818409725	2.01771240489	0.910058293186	4446.40527915	935.20659225	True	
1.39816346982	-0.516969067911	-0.549655536365	7005.25010463	925.854526328	False	
-3.85221931851	2.9166344717	0.801710309372	4346.43914124	925.854526328	True	
-6.7523152324	2.30239616349	1.98264194094	4289.90385042	916.595981065	True	
-6.56861082598	-1.19975807589	2.49682768873	6751.15964451	907.430021254	True	
-4.75146402812	-0.819839215271	1.38589999804	4337.09117702	898.355721041	True	
-8.49638368336	2.15315506155	2.63040187364	4782.12326399	889.372163831	True	
-1.30448090279	-0.266217858501	-0.207746482007	4517.01375329	880.478442193	True	
-6.83833931716	-0.726234089229	2.17048366835	4449.22132004	871.673657771	True	
-2.57442204408	1.77451724401	0.379004507346	4989.23088648	862.956921193	True	
-2.84519898122	2.11331438373	0.0794592096159	6127.46959572	854.327351981	True	
-4.06857357648	-1.14255431029	1.81064655717	6105.48736276	845.784078461	True	
-3.55315111503	0.970788601368	0.747787696476	4591.60223195	837.326237677	True	
-8.99534852024	0.391165896972	2.84855922219	4859.59976746	828.9529753	True	
-2.10082613242	2.54501883486	0.123258478328	4717.2795026	820.663445547	True	
-2.71718013308	1.30982265619	0.281140265999	4374.23211353	812.456811092	True	
-4.51240102553	0.63346440244	1.42311638862	6839.23795729	804.332242981	True	
-2.17972815139	1.07536647568	0.108916740448	4511.30558476	796.288920551	True	
-1.89681141931	0.465837332997	-0.060009394007	4495.83553307	788.326031345	True	
-5.84718983474	-0.449229038994	2.19065953376	5440.07936869	780.442771032	True	
-7.73856568165	0.83600859268	2.3295901484	4614.31406645	772.638343322	True	
-0.65828849397	1.0727929575	-0.538721906007	5138.18659889	764.911959888	True	
-5.52417257387	-0.395852645183	1.51196209248	4295.66163138	757.262840289	True	
-6.89850925087	0.818172142726	2.16670475239	4411.73140425	749.690211887	True	
-2.15194994621	-0.101328053972	0.168454289931	4405.26822624	742.193309768	True	
-3.50731042338	-0.806666945077	1.47689327506	4790.90009233	734.77137667	True	
-4.28762622739	-0.152820696347	0.913514147758	4419.39953866	727.423662903	True	
-4.01944929195	2.97866283822	0.951341659811	4636.78376991	720.149426274	True	
-3.40461367416	-0.905787233815	0.928526027985	4411.26286652	712.947932012	True	
-2.92676170627	0.355852169328	0.301765982236	4495.69174463	705.818452691	True	
-8.62734290473	2.3260800044	2.6513517559	5094.26171828	698.760268164	True	
-2.3459408398	-0.183904911894	0.0799600385177	4608.08553182	691.772665483	False	
-1.52276405843	-1.04531623146	0.5269528498	5117.18206222	691.772665483	True	
-7.99172237609	0.0181072867535	2.49018066926	4465.06989145	684.854938828	True	
-2.41704506327	0.789458835539	0.11053353229	4465.05480446	678.00638944	True	
-4.33947272709	1.52693619975	0.947309312402	4297.40496255	671.226325545	True	
-5.8475053407	0.657613607827	1.6344589041	4254.37898342	664.51406229	True	
-8.41580764299	0.0755663738296	2.78805229457	4208.38247062	657.868921667	True	
0.209055540103	-0.917047205443	-0.107561335737	5078.32364848	651.29023245	True	
-8.49112650129	-0.253336438927	2.6137575872	5395.46022376	644.777330126	True	
0.00942221832069	1.10021861285	-0.551134504344	6664.5142754	638.329556825	True	
-3.90027972469	0.0323612909611	0.841298156635	4235.05651278	631.946261256	True	
-6.80239006042	-0.7007687874	2.67737513641	4545.41973737	625.626798644	True	
0.797736019125	-0.60579019279	-0.800320255263	5983.66005276	619.370530657	True	
-6.52402398604	-0.290697832539	2.09318823931	4208.52028173	613.176825351	True	
-5.88082608514	0.788523527873	1.67223327686	4277.95322485	607.045057097	True	
-1.86430962358	2.0876461317	-0.107132202839	4561.28488359	600.974606526	True	
-3.79530905365	-0.445433744609	0.949409583089	4149.83455818	594.964860461	True	
-6.94601033723	1.04086488033	2.13981674049	4294.79602397	589.015211856	True	
-1.02423103133	-0.781785579465	-0.45867955467	6368.64194432	583.125059738	True	
-6.06641254886	-0.164687284734	1.74290655586	4219.09275271	577.29380914	True	
-3.86619101475	-1.00207911772	1.50703144671	4738.29587272	571.520871049	True	
-5.71400566242	1.61014125842	1.56390079326	4268.8403022	565.805662339	True	
-3.02199912183	-0.865633687995	1.14015423848	4437.85431156	560.147605715	True	
-7.4465674354	-0.76385104745	2.55774433551	4178.29384554	554.546129658	True	
-7.55826070177	-0.6025368355	2.63189769693	4050.52635083	549.000668361	True	
-0.900234742067	-0.720480194003	-0.214609789632	4504.82712579	543.510661678	True	
-6.04701295121	1.3456332631	1.75599497304	4318.14387655	538.075555061	True	
-4.61434822394	-0.530347090484	1.24328245466	4101.84870712	532.69479951	False	
-6.3011877348	-0.213202532206	1.88084887239	4169.82704159	532.69479951	True	
-3.45277405298	2.92858275003	0.41198498645	5151.81700378	527.367851515	True	
-5.69149431776	-0.355137810175	1.87364139009	4559.26440093	522.094173	True	
-7.01495089935	1.94684089259	2.17187274714	4313.25706194	516.87323127	True	
-2.97708175759	1.46136515058	0.317729238938	4474.44788104	511.704498957	False	
-7.62032467567	-0.937256684602	2.69481028179	4660.11352546	511.704498957	True	
-2.82699934015	-0.475279071703	0.44086147669	4196.58481794	506.587453968	True	
-2.88684509072	-0.0192744458344	0.275545635035	4628.44839208	501.521579428	True	
-3.64284800418	1.62578492947	0.673458496462	4308.30217567	496.506363634	True	
-5.93678499061	0.64411088392	1.65175742178	4261.83894853	491.541299998	True	
-5.22682456352	2.22995236057	1.22774846277	4676.81020763	486.625886998	True	
-8.45248243508	1.81170348082	2.67242384549	4425.50243859	481.759628128	True	
-8.46113236672	1.02803843027	2.54004396072	5554.42285636	476.942031846	True	
-6.26883680301	-0.245574556607	2.06516906348	4530.14459255	472.172611528	True	
-2.05152569827	-0.80009252892	0.326855773896	4235.42010333	467.450885413	True	
-4.82414816773	0.463195749201	1.07225542681	4622.52021522	462.776376558	True	
-5.01580078726	1.22625007309	1.27211457512	4273.96483927	458.148612793	True	
-5.80772968558	0.5067330724	1.64206731708	4259.82850503	453.567126665	True	
-6.46341581184	2.33998153937	2.00391715176	4581.33792965	449.031455398	False	
-1.26166598717	-0.786538906429	-0.00218791671373	4361.36752406	449.031455398	True	
-6.81483362675	0.220151212288	2.18749780498	4493.51285027	444.541140844	True	
-5.94462403708	1.94304774021	1.72813600823	4369.67270472	440.095729436	True	
-8.53794262731	-0.272915828292	2.94036858363	4174.90952545	435.694772142	True	
-2.89188431433	-0.645816342907	0.700604895816	4130.28294692	431.33782442	True	
-3.07939000436	0.886057967536	0.369914514728	4441.70346136	427.024446176	True	
-1.22728375511	1.36006890882	-0.245264744144	4886.83801103	422.754201714	True	
-2.60442840673	-0.75736161509	0.447786445625	4286.98266096	418.526659697	True	
-3.92601116613	-0.816930705094	1.2382387552	4115.38324488	414.3413931	True	
-1.95740998891	-0.351464200737	0.152340422987	4347.04127345	410.197979169	True	
-6.08141229683	2.72012435095	1.67765628744	4318.15592343	406.095999377	True	
-8.49263729338	2.38725218539	2.91754122828	4771.95839419	402.035039384	True	
